Entry	Base_Accession	Protein_Family	Gene_Name
A0ACI8TRA0	A0ACI8TRA0	Not available	ACOT8
A0ACI8TRA1	A0ACI8TRA1	Not available	EPHA3
A0ACI8TRA2	A0ACI8TRA2	Not available	FANCE
A0ACI8TRA3	A0ACI8TRA3	Not available	CSE1L
A0ACI8TRA4	A0ACI8TRA4	Not available	TOPBP1
A0ACI8TRA5	A0ACI8TRA5	Not available	MMS19
A0ACI8TRA6	A0ACI8TRA6	Not available	TAP2
A0ACI8TRA7	A0ACI8TRA7	Not available	KIDINS220
A0ACI8TRA8	A0ACI8TRA8	Not available	CNOT9
A0ACI8TRA9	A0ACI8TRA9	Not available	CDCA8
A0ACI8TRB0	A0ACI8TRB0	Not available	TTC31
A0ACI8TRB1	A0ACI8TRB1	Not available	KIF23
A0ACI8TRB2	A0ACI8TRB2	Not available	FANCE
A0ACI8TRB3	A0ACI8TRB3	Not available	WDR47
A0ACI8TRB4	A0ACI8TRB4	Not available	CDCA7L
A0ACI8TRB6	A0ACI8TRB6	Not available	CDCA7L
A0ACI8TRB7	A0ACI8TRB7	Not available	CDCA7L
A0ACI8TRB8	A0ACI8TRB8	Not available	NVL
A0ACI8TRB9	A0ACI8TRB9	Not available	CDCA7L
A0ACI8TRC0	A0ACI8TRC0	Not available	TBRG1
A0ACI8TRC1	A0ACI8TRC1	Not available	EIF4A1
A0ACI8TRC2	A0ACI8TRC2	Not available	MAML1
A0ACI8TRC4	A0ACI8TRC4	Not available	DIDO1
A0ACI8TRC5	A0ACI8TRC5	Not available	ACOT8
A0ACI8TRC6	A0ACI8TRC6	Not available	CDCA7L
A0ACI8TRC7	A0ACI8TRC7	Not available	CDK7
A0ACI8TRC8	A0ACI8TRC8	Not available	HOMER1
A0ACI8TRC9	A0ACI8TRC9	Not available	TSNARE1
A0ACI8TRD0	A0ACI8TRD0	Not available	FGFR4
A0ACI8TRD1	A0ACI8TRD1	Not available	KIF23
A0ACI8TRD2	A0ACI8TRD2	Not available	EIF4A1
A0ACI8TRD3	A0ACI8TRD3	Not available	CDCA7L
A0ACI8TRD4	A0ACI8TRD4	Not available	SIRT3
A0ACI8TRD5	A0ACI8TRD5	Not available	ABCD4
A0ACI8TRD6	A0ACI8TRD6	Not available	TXNDC5
A0ACI8TRD7	A0ACI8TRD7	Not available	ABCD4
A0ACI8TRD9	A0ACI8TRD9	Not available	RPL36A
A0ACI8TRE0	A0ACI8TRE0	Not available	MMS19
A0ACI8TRE1	A0ACI8TRE1	Not available	SIRT3
A0ACI8TRE2	A0ACI8TRE2	Not available	SIRT3
A0ACI8TRE3	A0ACI8TRE3	Not available	TCF12
A0ACI8TRE4	A0ACI8TRE4	Not available	FDXR
A0ACI8TRE5	A0ACI8TRE5	Not available	NABP2
A0ACI8TRE6	A0ACI8TRE6	Not available	MMS19
A0ACI8TRE7	A0ACI8TRE7	Not available	PSMA5
A0ACI8TRE8	A0ACI8TRE8	Not available	HMBS
A0ACI8TRE9	A0ACI8TRE9	Not available	HIP1R
A0ACI8TRF0	A0ACI8TRF0	Not available	ABCD4
A0ACI8TRF1	A0ACI8TRF1	Not available	CENPE
A0ACI8TRF2	A0ACI8TRF2	Not available	SAP130
A0ACI8TRF3	A0ACI8TRF3	Not available	HSD17B7
A0ACI8TRF4	A0ACI8TRF4	Not available	PES1
A0ACI8TRF5	A0ACI8TRF5	Not available	SAP130
A0ACI8TRF6	A0ACI8TRF6	Not available	TMEM39B
A0ACI8TRF7	A0ACI8TRF7	Not available	ABCD4
A0ACI8TRF8	A0ACI8TRF8	Not available	ABCD4
A0ACI8TRF9	A0ACI8TRF9	Not available	PKM
A0ACI8TRG0	A0ACI8TRG0	Not available	TRERF1
A0ACI8TRG1	A0ACI8TRG1	Not available	ABCD4
A0ACI8TRG2	A0ACI8TRG2	Not available	KIDINS220
A0ACI8TRG3	A0ACI8TRG3	Not available	ATG2A
A0ACI8TRG4	A0ACI8TRG4	Not available	RPL36A
A0ACI8TRG5	A0ACI8TRG5	Not available	ZBTB8OS
A0ACI8TRG6	A0ACI8TRG6	Not available	ZZZ3
A0ACI8TRG7	A0ACI8TRG7	Not available	MASTL
A0ACI8TRG8	A0ACI8TRG8	Not available	COX5A
A0ACI8TRG9	A0ACI8TRG9	Not available	FANCE
A0ACI8TRH0	A0ACI8TRH0	Not available	CENPE
A0ACI8TRH1	A0ACI8TRH1	Not available	PES1
A0ACI8TRH2	A0ACI8TRH2	Not available	HMGXB3
A0ACI8TRH3	A0ACI8TRH3	Not available	CENPE
A0ACI8TRH4	A0ACI8TRH4	Not available	GAGE12C
A0ACI8TRH5	A0ACI8TRH5	Not available	TAP2
A0ACI8TRH6	A0ACI8TRH6	Not available	XRCC1
A0ACI8TRH7	A0ACI8TRH7	Not available	SAP130
A0ACI8TRH9	A0ACI8TRH9	Not available	MAP3K10
A0ACI8TRI0	A0ACI8TRI0	Not available	UBE2T
A0ACI8TRI1	A0ACI8TRI1	Not available	SLC17A5
A0ACI8TRI2	A0ACI8TRI2	Not available	MICA
A0ACI8TRI3	A0ACI8TRI3	Not available	SAP130
A0ACI8TRI4	A0ACI8TRI4	Not available	FANCE
A0ACI8TRI5	A0ACI8TRI5	Not available	SBNO1
A0ACI8TRI6	A0ACI8TRI6	Not available	MIB2
A0ACI8TRI7	A0ACI8TRI7	Not available	TATDN3
A0ACI8TRI8	A0ACI8TRI8	Not available	CAV1
A0ACI8TRI9	A0ACI8TRI9	Not available	ZNF622
A0ACI8TRJ0	A0ACI8TRJ0	Not available	EIF4A1
A0ACI8TRJ2	A0ACI8TRJ2	Not available	ALPK3
A0ACI8TRJ3	A0ACI8TRJ3	Not available	XRCC1
A0ACI8TRJ4	A0ACI8TRJ4	Not available	C22orf15
A0ACI8TRJ5	A0ACI8TRJ5	Not available	CXXC1
A0ACI8TRJ6	A0ACI8TRJ6	Not available	NOA1
A0ACI8TRJ7	A0ACI8TRJ7	Not available	C22orf15
A0ACI8TRJ8	A0ACI8TRJ8	Not available	CDCA7L
A0ACI8TRJ9	A0ACI8TRJ9	Not available	PPHLN1
A0ACI8TRK1	A0ACI8TRK1	Not available	CNOT3
A0ACI8TRK3	A0ACI8TRK3	Not available	NDUFAF7
A0ACI8TRK4	A0ACI8TRK4	Not available	UQCRFS1
A0ACI8TRK5	A0ACI8TRK5	Not available	SURF2
A0ACI8TRK6	A0ACI8TRK6	Not available	PIM1
A0ACI8TRK7	A0ACI8TRK7	Not available	ACOT8
A0ACI8TRK8	A0ACI8TRK8	Not available	KIF23
A0ACI8TRK9	A0ACI8TRK9	Not available	SBNO1
A0ACI8TRL0	A0ACI8TRL0	Not available	PRKD3
A0ACI8TRL1	A0ACI8TRL1	Not available	C22orf15
A0ACI8TRL2	A0ACI8TRL2	Not available	PNKP
A0ACI8TRL3	A0ACI8TRL3	Not available	TMEM219
A0ACI8TRL4	A0ACI8TRL4	Not available	CDK7
A0ACI8TRL5	A0ACI8TRL5	Not available	FANCE
A0ACI8TRL6	A0ACI8TRL6	Not available	GLI2
A0ACI8TRL7	A0ACI8TRL7	Not available	ZNF622
A0ACI8TRL8	A0ACI8TRL8	Not available	NDE1
A0ACI8TRL9	A0ACI8TRL9	Not available	PRR3
A0ACI8TRM0	A0ACI8TRM0	Not available	GLI2
A0ACI8TRM1	A0ACI8TRM1	Not available	ABCD4
A0ACI8TRM2	A0ACI8TRM2	Not available	PNKP
A0ACI8TRM3	A0ACI8TRM3	Not available	MASTL
A0ACI8TRM4	A0ACI8TRM4	Not available	PARG
A0ACI8TRM5	A0ACI8TRM5	Not available	NCL
A0ACI8TRM6	A0ACI8TRM6	Not available	MMS19
A0ACI8TRM7	A0ACI8TRM7	Not available	PNKP
A0ACI8TRM8	A0ACI8TRM8	Not available	ACAT2
A0ACI8TRM9	A0ACI8TRM9	Not available	CXXC1
A0ACI8TRN0	A0ACI8TRN0	Not available	PNKP
A0ACI8TRN1	A0ACI8TRN1	Not available	HMBS
A0ACI8TRN2	A0ACI8TRN2	Not available	PPHLN1
A0ACI8TRN3	A0ACI8TRN3	Not available	RPA1
A0ACI8TRN5	A0ACI8TRN5	Not available	ABCD4
A0ACI8TRN6	A0ACI8TRN6	Not available	PSMB4
A0ACI8TRN7	A0ACI8TRN7	Not available	TTC4
A0ACI8TRN8	A0ACI8TRN8	Not available	NCL
A0ACI8TRN9	A0ACI8TRN9	Not available	RPL7L1
A0ACI8TRP0	A0ACI8TRP0	Not available	SYNGR1
A0ACI8TRP1	A0ACI8TRP1	Not available	CALB2
A0ACI8TRP2	A0ACI8TRP2	Not available	RAMAC
A0ACI8TRP3	A0ACI8TRP3	Not available	HMBS
A0ACI8TRP4	A0ACI8TRP4	Not available	SURF2
A0ACI8TRP5	A0ACI8TRP5	Not available	SURF2
A0ACI8TRP6	A0ACI8TRP6	Not available	NSUN5
A0ACI8TRP7	A0ACI8TRP7	Not available	FDXR
A0ACI8TRP8	A0ACI8TRP8	Not available	LMBRD1
A0ACI8TRP9	A0ACI8TRP9	Not available	NT5DC3
A0ACI8TRQ0	A0ACI8TRQ0	Not available	PKM
A0ACI8TRQ1	A0ACI8TRQ1	Not available	EIF4A1
A0ACI8TRQ2	A0ACI8TRQ2	Not available	OLFML3
A0ACI8TRQ3	A0ACI8TRQ3	Not available	SAP130
A0ACI8TRQ4	A0ACI8TRQ4	Not available	TTC4
A0ACI8TRQ5	A0ACI8TRQ5	Not available	QPRT
A0ACI8TRQ6	A0ACI8TRQ6	Not available	RPL7L1
A0ACI8TRQ7	A0ACI8TRQ7	Not available	ATRAID
A0ACI8TRQ8	A0ACI8TRQ8	Not available	ARHGAP28
A0ACI8TRQ9	A0ACI8TRQ9	Not available	UBE2C
A0ACI8TRR0	A0ACI8TRR0	Not available	R3HDM4
A0ACI8TRR2	A0ACI8TRR2	Not available	SYNGR1
A0ACI8TRR3	A0ACI8TRR3	Not available	ZNF143
A0ACI8TRR4	A0ACI8TRR4	Not available	BCL2L12
A0ACI8TRR5	A0ACI8TRR5	Not available	ACAT2
A0ACI8TRR6	A0ACI8TRR6	Not available	SLC38A7
A0ACI8TRR7	A0ACI8TRR7	Not available	TATDN1
A0ACI8TRR8	A0ACI8TRR8	Not available	ACAT2
A0ACI8TRR9	A0ACI8TRR9	Not available	PRKD3
A0ACI8TRS0	A0ACI8TRS0	Not available	ACAT2
A0ACI8TRS2	A0ACI8TRS2	Not available	GLI2
A0ACI8TRS3	A0ACI8TRS3	Not available	PKM
A0ACI8TRS4	A0ACI8TRS4	Not available	COL4A1
A0ACI8TRS5	A0ACI8TRS5	Not available	PKM
A0ACI8TRS7	A0ACI8TRS7	Not available	XPO1
A0ACI8TRS9	A0ACI8TRS9	Not available	ABCD4
A0ACI8TRT0	A0ACI8TRT0	Not available	CENPE
A0ACI8TRT1	A0ACI8TRT1	Not available	SUMF1
A0ACI8TRT3	A0ACI8TRT3	Not available	ZNF143
A0ACI8TRT4	A0ACI8TRT4	Not available	TATDN1
A0ACI8TRT5	A0ACI8TRT5	Not available	FGFR4
A0ACI8TRT6	A0ACI8TRT6	Not available	FNDC3A
A0ACI8TRT7	A0ACI8TRT7	Not available	GTPBP3
A0ACI8TRT8	A0ACI8TRT8	Not available	FNDC3A
A0ACI8TRT9	A0ACI8TRT9	Not available	XPO1
A0ACI8TRU0	A0ACI8TRU0	Not available	FBXO33
A0ACI8TRU1	A0ACI8TRU1	Not available	HLA-A
A0ACI8TRU2	A0ACI8TRU2	Not available	PIGH
A0ACI8TRU3	A0ACI8TRU3	Not available	PNKP
A0ACI8TRU4	A0ACI8TRU4	Not available	RPA1
A0ACI8TRU5	A0ACI8TRU5	Not available	XPO1
A0ACI8TRU6	A0ACI8TRU6	Not available	FAF2
A0ACI8TRU7	A0ACI8TRU7	Not available	XPO1
A0ACI8TRU8	A0ACI8TRU8	Not available	SLC38A7
A0ACI8TRU9	A0ACI8TRU9	Not available	SURF2
A0ACI8TRV0	A0ACI8TRV0	Not available	TYW5
A0ACI8TRV2	A0ACI8TRV2	Not available	NCL
A0ACI8TRV3	A0ACI8TRV3	Not available	PSMC4
A0ACI8TRV4	A0ACI8TRV4	Not available	RSBN1
A0ACI8TRV5	A0ACI8TRV5	Not available	MRPS10
A0ACI8TRV6	A0ACI8TRV6	Not available	UBE2C
A0ACI8TRV7	A0ACI8TRV7	Not available	RPL11
A0ACI8TRV8	A0ACI8TRV8	Not available	NUFIP2
A0ACI8TRV9	A0ACI8TRV9	Not available	TRERF1
A0ACI8TRW0	A0ACI8TRW0	Not available	PLEKHA8
A0ACI8TRW1	A0ACI8TRW1	Not available	C22orf15
A0ACI8TRW2	A0ACI8TRW2	Not available	ZNF143
A0ACI8TRW3	A0ACI8TRW3	Not available	ATP6V1E1
A0ACI8TRW4	A0ACI8TRW4	Not available	R3HDM4
A0ACI8TRW5	A0ACI8TRW5	Not available	ACAT2
A0ACI8TRW6	A0ACI8TRW6	Not available	TYW5
A0ACI8TRW8	A0ACI8TRW8	Not available	TYW5
A0ACI8TRW9	A0ACI8TRW9	Not available	RPL11
A0ACI8TRX0	A0ACI8TRX0	Not available	QPRT
A0ACI8TRX1	A0ACI8TRX1	Not available	LHFPL4
A0ACI8TRX2	A0ACI8TRX2	Not available	TYW5
A0ACI8TRX3	A0ACI8TRX3	Not available	MRPS10
A0ACI8TRX4	A0ACI8TRX4	Not available	CDK7
A0ACI8TRX5	A0ACI8TRX5	Not available	CCNL2
A0ACI8TRX7	A0ACI8TRX7	Not available	LHFPL4
A0ACI8TRX8	A0ACI8TRX8	Not available	ARB2A
A0ACI8TRY0	A0ACI8TRY0	Not available	CCNL2
A0ACI8TRY1	A0ACI8TRY1	Not available	COMMD7
A0ACI8TRY2	A0ACI8TRY2	Not available	XPO1
A0ACI8TRY3	A0ACI8TRY3	Not available	SLC45A3
A0ACI8TRY5	A0ACI8TRY5	Not available	DECR1
A0ACI8TRY7	A0ACI8TRY7	Not available	SKP1
A0ACI8TRY9	A0ACI8TRY9	Not available	CDK7
A0ACI8TRZ0	A0ACI8TRZ0	Not available	SBNO1
A0ACI8TRZ1	A0ACI8TRZ1	Not available	SLC38A7
A0ACI8TRZ2	A0ACI8TRZ2	Not available	NVL
A0ACI8TRZ3	A0ACI8TRZ3	Not available	NUFIP2
A0ACI8TRZ4	A0ACI8TRZ4	Not available	CDK7
A0ACI8TRZ5	A0ACI8TRZ5	Not available	PSMB4
A0ACI8TRZ6	A0ACI8TRZ6	Not available	SMNDC1
A0ACI8TRZ7	A0ACI8TRZ7	Not available	DHX16
A0ACI8TRZ8	A0ACI8TRZ8	Not available	TCP1
A0ACI8TRZ9	A0ACI8TRZ9	Not available	FDXR
A0ACI8TS00	A0ACI8TS00	Not available	RPL11
A0ACI8TS01	A0ACI8TS01	Not available	TCP1
A0ACI8TS02	A0ACI8TS02	Not available	C22orf15
A0ACI8TS03	A0ACI8TS03	Not available	TATDN3
A0ACI8TS04	A0ACI8TS04	Not available	PLOD1
A0ACI8TS05	A0ACI8TS05	Not available	TYW5
A0ACI8TS06	A0ACI8TS06	Not available	DECR1
A0ACI8TS07	A0ACI8TS07	Not available	SKP1
A0ACI8TS08	A0ACI8TS08	Not available	RNF122
A0ACI8TS09	A0ACI8TS09	Not available	FNBP1L
A0ACI8TS12	A0ACI8TS12	Not available	FDXR
A0ACI8TS13	A0ACI8TS13	Not available	DPH5
A0ACI8TS15	A0ACI8TS15	Not available	ORMDL3
A0ACI8TS17	A0ACI8TS17	Not available	GGNBP2
A0ACI8TS18	A0ACI8TS18	Not available	DHX16
A0ACI8TS19	A0ACI8TS19	Not available	COL4A1
A0ACI8TS20	A0ACI8TS20	Not available	CKMT1A
A0ACI8TS21	A0ACI8TS21	Not available	CCNL2
A0ACI8TS22	A0ACI8TS22	Not available	ATP8B2
A0ACI8TS23	A0ACI8TS23	Not available	HVCN1
A0ACI8TS24	A0ACI8TS24	Not available	PLXNB1
A0ACI8TS25	A0ACI8TS25	Not available	PRKD3
A0ACI8TS27	A0ACI8TS27	Not available	TATDN3
A0ACI8TS28	A0ACI8TS28	Not available	ITM2A
A0ACI8TS29	A0ACI8TS29	Not available	DPH5
A0ACI8TS30	A0ACI8TS30	Not available	R3HDM4
A0ACI8TS31	A0ACI8TS31	Not available	NPAS2
A0ACI8TS32	A0ACI8TS32	Not available	ADAM10
A0ACI8TS33	A0ACI8TS33	Not available	INO80C
A0ACI8TS34	A0ACI8TS34	Not available	BBS1
A0ACI8TS35	A0ACI8TS35	Not available	CNEP1R1
A0ACI8TS36	A0ACI8TS36	Not available	INO80E
A0ACI8TS37	A0ACI8TS37	Not available	INO80E
A0ACI8TS38	A0ACI8TS38	Not available	SLC45A3
A0ACI8TS39	A0ACI8TS39	Not available	TCP1
A0ACI8TS40	A0ACI8TS40	Not available	FIBCD1
A0ACI8TS41	A0ACI8TS41	Not available	INO80E
A0ACI8TS42	A0ACI8TS42	Not available	INO80C
A0ACI8TS43	A0ACI8TS43	Not available	WASHC4
A0ACI8TS44	A0ACI8TS44	Not available	ARHGEF10L
A0ACI8TS45	A0ACI8TS45	Not available	FNBP1L
A0ACI8TS46	A0ACI8TS46	Not available	NCL
A0ACI8TS47	A0ACI8TS47	Not available	WASHC4
A0ACI8TS48	A0ACI8TS48	Not available	PLXNB1
A0ACI8TS49	A0ACI8TS49	Not available	INO80E
A0ACI8TS50	A0ACI8TS50	Not available	DECR1
A0ACI8TS51	A0ACI8TS51	Not available	HROB
A0ACI8TS52	A0ACI8TS52	Not available	ZNF622
A0ACI8TS53	A0ACI8TS53	Not available	EIF4A1
A0ACI8TS54	A0ACI8TS54	Not available	SLC68A1
A0ACI8TS55	A0ACI8TS55	Not available	ATP8B2
A0ACI8TS57	A0ACI8TS57	Not available	EXOC4
A0ACI8TS58	A0ACI8TS58	Not available	SKP1
A0ACI8TS59	A0ACI8TS59	Not available	HROB
A0ACI8TS61	A0ACI8TS61	Not available	CPVL
A0ACI8TS62	A0ACI8TS62	Not available	GGNBP2
A0ACI8TS63	A0ACI8TS63	Not available	HROB
A0ACI8TS64	A0ACI8TS64	Not available	NCL
A0ACI8TS65	A0ACI8TS65	Not available	PLXNB1
A0ACI8TS66	A0ACI8TS66	Not available	HROB
A0ACI8TS67	A0ACI8TS67	Not available	PLXNB1
A0ACI8TS68	A0ACI8TS68	Not available	EIF4A1
A0ACI8TS69	A0ACI8TS69	Not available	XPC
A0ACI8TS70	A0ACI8TS70	Not available	MED12L
A0ACI8TS71	A0ACI8TS71	Not available	SOS2
A0ACI8TS72	A0ACI8TS72	Not available	CNEP1R1
A0ACI8TS73	A0ACI8TS73	Not available	FGFR1
A0ACI8TS74	A0ACI8TS74	Not available	PSMB4
A0ACI8TS76	A0ACI8TS76	Not available	HROB
A0ACI8TS77	A0ACI8TS77	Not available	ZNF622
A0ACI8TS78	A0ACI8TS78	Not available	HROB
A0ACI8TS79	A0ACI8TS79	Not available	ABCD4
A0ACI8TS80	A0ACI8TS80	Not available	DPH5
A0ACI8TS81	A0ACI8TS81	Not available	MSH3
A0ACI8TS82	A0ACI8TS82	Not available	NCL
A0ACI8TS83	A0ACI8TS83	Not available	SUCLA2
A0ACI8TS84	A0ACI8TS84	Not available	WASHC4
A0ACI8TS85	A0ACI8TS85	Not available	RPL11
A0ACI8TS86	A0ACI8TS86	Not available	HROB
A0ACI8TS87	A0ACI8TS87	Not available	CACHD1
A0ACI8TS88	A0ACI8TS88	Not available	NCL
A0ACI8TS89	A0ACI8TS89	Not available	TYW5
A0ACI8TS91	A0ACI8TS91	Not available	PARP4
A0ACI8TS92	A0ACI8TS92	Not available	TPI1
A0ACI8TS93	A0ACI8TS93	Not available	ESYT2
A0ACI8TS94	A0ACI8TS94	Not available	MASTL
A0ACI8TS95	A0ACI8TS95	Not available	NCL
A0ACI8TS96	A0ACI8TS96	Not available	ITM2A
A0ACI8TS97	A0ACI8TS97	Not available	ESYT2
A0ACI8TS98	A0ACI8TS98	Not available	ABCD4
A0ACI8TS99	A0ACI8TS99	Not available	XPO1
A0ACI8TSA0	A0ACI8TSA0	Not available	ESYT2
A0ACI8TSA1	A0ACI8TSA1	Not available	GPSM3
A0ACI8TSA2	A0ACI8TSA2	Not available	HROB
A0ACI8TSA3	A0ACI8TSA3	Not available	NVL
A0ACI8TSA4	A0ACI8TSA4	Not available	WDR18
A0ACI8TSA5	A0ACI8TSA5	Not available	ARHGEF10L
A0ACI8TSA6	A0ACI8TSA6	Not available	SOS2
A0ACI8TSA7	A0ACI8TSA7	Not available	CPNE4
A0ACI8TSA8	A0ACI8TSA8	Not available	TBRG4
A0ACI8TSA9	A0ACI8TSA9	Not available	HROB
A0ACI8TSB1	A0ACI8TSB1	Not available	TPI1
A0ACI8TSB2	A0ACI8TSB2	Not available	PPCS
A0ACI8TSB3	A0ACI8TSB3	Not available	HROB
A0ACI8TSB4	A0ACI8TSB4	Not available	TPX2
A0ACI8TSB5	A0ACI8TSB5	Not available	SKP1
A0ACI8TSB6	A0ACI8TSB6	Not available	TATDN3
A0ACI8TSB7	A0ACI8TSB7	Not available	TBRG4
A0ACI8TSB8	A0ACI8TSB8	Not available	ARHGAP39
A0ACI8TSB9	A0ACI8TSB9	Not available	RASGRF2
A0ACI8TSC0	A0ACI8TSC0	Not available	WDR18
A0ACI8TSC1	A0ACI8TSC1	Not available	TYW5
A0ACI8TSC2	A0ACI8TSC2	Not available	TBRG4
A0ACI8TSC3	A0ACI8TSC3	Not available	CPVL
A0ACI8TSC4	A0ACI8TSC4	Not available	SBNO1
A0ACI8TSC5	A0ACI8TSC5	Not available	TBRG4
A0ACI8TSC6	A0ACI8TSC6	Not available	TBRG4
A0ACI8TSC7	A0ACI8TSC7	Not available	ITM2A
A0ACI8TSC8	A0ACI8TSC8	Not available	TPI1
A0ACI8TSC9	A0ACI8TSC9	Not available	SORT1
A0ACI8TSD0	A0ACI8TSD0	Not available	HROB
A0ACI8TSD1	A0ACI8TSD1	Not available	ADAM10
A0ACI8TSD2	A0ACI8TSD2	Not available	ESYT2
A0ACI8TSD4	A0ACI8TSD4	Not available	SORT1
A0ACI8TSD7	A0ACI8TSD7	Not available	TATDN3
A0ACI8TSD8	A0ACI8TSD8	Not available	POLR3E
A0ACI8TSD9	A0ACI8TSD9	Not available	DPH5
A0ACI8TSE0	A0ACI8TSE0	Not available	PNKP
A0ACI8TSE1	A0ACI8TSE1	Not available	TATDN1
A0ACI8TSE2	A0ACI8TSE2	Not available	SORT1
A0ACI8TSE3	A0ACI8TSE3	Not available	TBCCD1
A0ACI8TSE4	A0ACI8TSE4	Not available	RPS21
A0ACI8TSE5	A0ACI8TSE5	Not available	ITM2A
A0ACI8TSE6	A0ACI8TSE6	Not available	RPL11
A0ACI8TSE8	A0ACI8TSE8	Not available	SEC24B
A0ACI8TSE9	A0ACI8TSE9	Not available	SORT1
A0ACI8TSF0	A0ACI8TSF0	Not available	CPVL
A0ACI8TSF1	A0ACI8TSF1	Not available	TBRG4
A0ACI8TSF2	A0ACI8TSF2	Not available	NVL
A0ACI8TSF4	A0ACI8TSF4	Not available	ATP8B2
A0ACI8TSF5	A0ACI8TSF5	Not available	TUBD1
A0ACI8TSF6	A0ACI8TSF6	Not available	ATG13
A0ACI8TSF8	A0ACI8TSF8	Not available	ESYT2
A0ACI8TSF9	A0ACI8TSF9	Not available	STXBP3
A0ACI8TSG0	A0ACI8TSG0	Not available	TBRG4
A0ACI8TSG1	A0ACI8TSG1	Not available	RTBDN
A0ACI8TSG3	A0ACI8TSG3	Not available	ARPC3
A0ACI8TSG4	A0ACI8TSG4	Not available	CPVL
A0ACI8TSG5	A0ACI8TSG5	Not available	XYLT1
A0ACI8TSG6	A0ACI8TSG6	Not available	CACHD1
A0ACI8TSG7	A0ACI8TSG7	Not available	POLR2L
A0ACI8TSG9	A0ACI8TSG9	Not available	TATDN1
A0ACI8TSH0	A0ACI8TSH0	Not available	SLC68A1
A0ACI8TSH1	A0ACI8TSH1	Not available	GTPBP3
A0ACI8TSH2	A0ACI8TSH2	Not available	FXYD7
A0ACI8TSH3	A0ACI8TSH3	Not available	EXOC4
A0ACI8TSH4	A0ACI8TSH4	Not available	DHX57
A0ACI8TSH5	A0ACI8TSH5	Not available	DHX57
A0ACI8TSH6	A0ACI8TSH6	Not available	RPS21
A0ACI8TSH7	A0ACI8TSH7	Not available	CUL1
A0ACI8TSH8	A0ACI8TSH8	Not available	RPL11
A0ACI8TSH9	A0ACI8TSH9	Not available	PHKA2
A0ACI8TSI0	A0ACI8TSI0	Not available	ZNF622
A0ACI8TSI1	A0ACI8TSI1	Not available	PHKA2
A0ACI8TSI2	A0ACI8TSI2	Not available	TPX2
A0ACI8TSI3	A0ACI8TSI3	Not available	IRX6
A0ACI8TSI4	A0ACI8TSI4	Not available	UAP1
A0ACI8TSI5	A0ACI8TSI5	Not available	TBRG4
A0ACI8TSI6	A0ACI8TSI6	Not available	PKN1
A0ACI8TSI7	A0ACI8TSI7	Not available	RPL11
A0ACI8TSI9	A0ACI8TSI9	Not available	PHKA2
A0ACI8TSJ0	A0ACI8TSJ0	Not available	HROB
A0ACI8TSJ1	A0ACI8TSJ1	Not available	SH3BGRL3
A0ACI8TSJ2	A0ACI8TSJ2	Not available	ATP6V1E1
A0ACI8TSJ3	A0ACI8TSJ3	Not available	MAP4K4
A0ACI8TSJ4	A0ACI8TSJ4	Not available	RPL11
A0ACI8TSJ5	A0ACI8TSJ5	Not available	SH3BGRL3
A0ACI8TSJ6	A0ACI8TSJ6	Not available	UBE2C
A0ACI8TSJ7	A0ACI8TSJ7	Not available	NCL
A0ACI8TSJ8	A0ACI8TSJ8	Not available	VTA1
A0ACI8TSJ9	A0ACI8TSJ9	Not available	DHX57
A0ACI8TSK0	A0ACI8TSK0	Not available	ADAM10
A0ACI8TSK1	A0ACI8TSK1	Not available	XBP1
A0ACI8TSK2	A0ACI8TSK2	Not available	NCL
A0ACI8TSK4	A0ACI8TSK4	Not available	SEC24B
A0ACI8TSK8	A0ACI8TSK8	Not available	STK33
A0ACI8TSK9	A0ACI8TSK9	Not available	NOC2L
A0ACI8TSL0	A0ACI8TSL0	Not available	DHX57
A0ACI8TSL1	A0ACI8TSL1	Not available	NOC2L
A0ACI8TSL2	A0ACI8TSL2	Not available	NOC2L
A0ACI8TSL3	A0ACI8TSL3	Not available	CRELD1
A0ACI8TSL4	A0ACI8TSL4	Not available	NOC2L
A0ACI8TSL5	A0ACI8TSL5	Not available	NOC2L
A0ACI8TSL6	A0ACI8TSL6	Not available	NOC2L
A0ACI8TSL7	A0ACI8TSL7	Not available	MASTL
A0ACI8TSL9	A0ACI8TSL9	Not available	RPL11
A0ACI8TSM0	A0ACI8TSM0	Not available	NOC2L
A0ACI8TSM1	A0ACI8TSM1	Not available	FGFR4
A0ACI8TSM2	A0ACI8TSM2	Not available	MAP3K7
A0ACI8TSM3	A0ACI8TSM3	Not available	DHX57
A0ACI8TSM4	A0ACI8TSM4	Not available	PHKA2
A0ACI8TSM5	A0ACI8TSM5	Not available	SF3B2
A0ACI8TSM7	A0ACI8TSM7	Not available	PKN1
A0ACI8TSM8	A0ACI8TSM8	Not available	PEX5
A0ACI8TSM9	A0ACI8TSM9	Not available	TBRG4
A0ACI8TSN0	A0ACI8TSN0	Not available	TUBD1
A0ACI8TSN1	A0ACI8TSN1	Not available	LPCAT1
A0ACI8TSN2	A0ACI8TSN2	Not available	RPL5
A0ACI8TSN4	A0ACI8TSN4	Not available	RPL5
A0ACI8TSN5	A0ACI8TSN5	Not available	RPL5
A0ACI8TSN6	A0ACI8TSN6	Not available	PRIM2
A0ACI8TSN7	A0ACI8TSN7	Not available	SH3BGRL3
A0ACI8TSN8	A0ACI8TSN8	Not available	PRIM2
